景点名称;地点;景点级别;热度;口碑;标签;评论
----------------------------------------
鼓浪屿;厦门 · 鼓浪屿地区;5A;8.8;2025全球50玩水避暑景点;万国建筑博览,海滨玩水;5.1万条点评
厦门园林植物园;厦门 · 厦门大学地区;5A;8.6;2025全球100亲子景点;仙气十足的雨林世界,遛娃宝藏地;1.5万条点评
钟鼓索道;厦门 · 中山路地区;#;8.3;福建必打卡景点榜 No.3;在高空中俯瞰厦门全景,遛娃宝藏地;6233条点评
平潭岛;平潭 · 龙王头沙滩/县城区;#;8.2;2025中国50玩水避暑景点;保留着原始海岛风貌,海滨玩水;1272条点评
武夷山国家公园;武夷山 · 武夷山风景区;5A;8.1;2025全球50玩水避暑景点;世界文化与自然双重遗产,避暑纳凉;1.2万条点评
云水谣景区;南靖 · 云水谣景区;5A;7.9;南靖土楼夜游必打卡景点榜 No.1;电影《云水谣》拍摄地,避暑纳凉;3539条点评
胡里山炮台;厦门 · 厦门大学地区;4A;7.8;福建亲子景点榜 No.3;集欧式和明清风格于一身,遛娃宝藏地;1.4万条点评
清源山;泉州 · 西湖公园/清源山;5A;7.7;泉州必打卡景点榜 No.1;泉州十八景之一,登高爬山;2951条点评
厦门科技馆;厦门 · SM城市广场地区;#;7.7;2025亚洲100亲子景点;感受新科技的乐趣,展馆展览;1.0万条点评
福建土楼(永定)景区;龙岩 · 永定土楼;5A;7.6;福建亲子景点榜 No.5;福建土楼看永定,古镇古村;3610条点评
福建土楼(南靖)景区;南靖 · 塔下土楼景区;5A;7.6;漳州必打卡景点榜 No.1;#;731条点评
厦门大学;厦门 · 厦门大学地区;#;7.6;福建必打卡景点榜 No.11;依山傍海的出名学府,遛娃宝藏地;1.4万条点评
三坊七巷;福州 · 三坊七巷;5A;7.6;福州必打卡景点榜 No.2;明清建筑博物馆,遛娃宝藏地;6301条点评
猴研岛;平潭 · 68海里/台湾小镇;#;7.6;福州必打卡景点榜 No.3;摄影爱好者的天堂,海滨玩水;1428条点评
东山岛;东山 · 西埔城区;#;7.6;漳州玩水避暑榜 No.1;海滨玩水;1105条点评
《印象大红袍》演出;武夷山 · 三姑度假区;#;7.5;2025中国100夜游景点;展示中国茶文化的实景演出,遛娃宝藏地;4624条点评
仙人井;平潭 · 仙人井;#;7.5;#;当地知名的海蚀奇景,自然山水;1791条点评
68海里景区;平潭 · 68海里/台湾小镇;4A;7.5;#;祖国大陆距台湾最近的地方,海滩&岛屿;1198条点评
湄洲岛;莆田 · 湄洲岛·国家旅游度假区;5A;7.5;莆田玩水避暑榜 No.1;在妈祖文化发源地祈福,海滨玩水;1328条点评
太姥山;福鼎 · 太姥山;5A;7.5;福建必打卡景点榜 No.17;峰险、石奇、洞趣、雾幻,遛娃宝藏地;5300条点评
泉州开元寺;泉州 · 西街/开元寺;4A;7.4;泉州必打卡景点榜 No.2;拥有千年历史的寺庙,历史建筑;2197条点评
鹭江夜游;厦门 · 中山路地区;#;7.4;2025中国100夜游景点;游船观赏鼓浪屿和鹭岛夜景,遛娃宝藏地;3630条点评
厦门海上游;厦门 · 中山路地区;#;7.4;福建夜游必打卡景点榜 No.2;夜游观景;141条点评
泉州西街木偶戏剧表演;泉州 · 西街/开元寺;#;7.4;2025中国100夜游景点;国家非遗泉州木偶戏体验,演出;519条点评
日光岩;厦门 · 鼓浪屿地区;#;7.4;#;制高点俯瞰鼓浪屿,遛娃宝藏地;8216条点评
中华武夷茶博园;武夷山 · 三姑度假区;4A;7.4;#;自然山水;192条点评
九曲溪竹筏漂流;武夷山 · 武夷山风景区;#;7.3;福建亲子景点榜 No.10;乘竹筏观山景听溪声,清凉漂流;850条点评
闽江夜游;福州 · 上下杭/宝龙广场;#;7.2;2025中国100夜游景点;品味夜幕下的闽水情怀,遛娃宝藏地;2547条点评
南普陀寺;厦门 · 厦门大学地区;#;7.2;厦门必打卡景点榜 No.8;全国出名的佛教寺院,历史建筑;5313条点评
