景点名称;地点;景点级别;热度;口碑;标签;评论
----------------------------------------
澳门塔;距市中心995m;#;7.9;2025全球100夜游景点;体验蹦极欣赏澳门全景,遛娃宝藏地;9970条点评
影汇之星8字形摩天轮;距市中心5.5km;#;7.7;2025亚洲100夜游景点;澳门景致尽收眼底,遛娃宝藏地;2967条点评
澳门新濠影汇度假区;距市中心5.5km;#;7.6;2025亚洲100亲子景点;电影主题度假村,度假村;2559条点评
新濠影汇水上乐园;距市中心5.3km;#;7.4;2025中国50玩水避暑景点;畅玩四个主题游乐区,遛娃宝藏地;1943条点评
澳门威尼斯人度假区;距市中心4.8km;#;7.3;澳门亲子景点榜 No.3;置身昔日威尼斯的街道,度假村;6405条点评
澳门金沙度假区;距市中心1.3km;#;7.3;澳门必打卡景点榜 No.6;度假村;51条点评
澳门teamLab超自然空间（澳门威尼斯人）;距市中心5.0km;#;7.2;2025中国100亲子景点;身体沉浸式互动体验,展馆展览;1498条点评
澳门新濠天地《水舞间》;距市中心4.9km;#;7.1;澳门亲子景点榜 No.5;演出;3843条点评
贡多拉船体验之旅（澳门威尼斯人）;距市中心4.8km;#;6.9;澳门亲子景点榜 No.6;恍如置身于水都威尼斯,遛娃宝藏地;800条点评
大三巴牌坊;距市中心1.2km;#;6.9;澳门亲子景点榜 No.7;澳门标志性建筑,历史建筑;8108条点评
澳门伦敦人度假区;距市中心5.1km;#;6.9;澳门夜游必打卡景点榜 No.5;感受真正的伦敦体验,度假村;213条点评
新濠天地;距市中心4.8km;#;6.9;澳门必打卡景点榜 No.12;遛娃宝藏地;663条点评
澳门科学馆;距市中心1.4km;#;6.8;澳门亲子景点榜 No.9;贝聿铭设计的科学馆,展馆展览;1051条点评
澳门巴黎铁塔（澳门巴黎人）;距市中心5.2km;#;6.7;澳门夜游必打卡景点榜 No.3;体验巴黎风格的浪漫风情,遛娃宝藏地;953条点评
澳门巴黎人度假区;距市中心5.2km;#;6.7;澳门夜游必打卡景点榜 No.2;逛精品购物店品尝环球美食,度假村;268条点评
