景点名称;地点;景点级别;热度;口碑;标签;评论
----------------------------------------
西湖风景名胜区;杭州 · 西湖风景区/灵隐度假区;5A;10;2025全球100必打卡景点;杭州之美的代言人,遛娃宝藏地;3.6万条点评
普陀山风景区;舟山 · 普陀山/普济寺/南海观音;5A;8.6;2025中国100必打卡景点;海天佛国的观音道场,海滨玩水;3.3万条点评
杭州宋城;杭州 · 宋城/转塘/之江休闲度假区;4A;8.6;2025全球100亲子景点;看《宋城千古情》演出,看演出;3.2万条点评
乌镇;桐乡 · 乌镇西栅景区内/乌村;5A;8.5;2025全球100夜游景点;电视剧《似水年华》取景地,古镇古村;2.5万条点评
西湖游船;杭州 · 西湖风景区/灵隐度假区;#;8.4;2024全球100亲子景点;坐船领略西湖别样美貌,遛娃宝藏地;1.9万条点评
神仙居;仙居;5A;8.3;2025中国50赏花踏青景点;传说中神仙居住的地方,避暑纳凉;1.0万条点评
仙居风景名胜区;仙居;#;8.3;台州玩水避暑榜 No.1;境内多山、构造独特,避暑纳凉;514条点评
灵隐飞来峰景区;杭州 · 西湖风景区/灵隐度假区;#;8.3;杭州必打卡景点榜 No.3;观石刻造像在古寺参佛礼拜,历史建筑;2.0万条点评
千岛湖景区;淳安 · 千岛湖中心湖区;5A;8.2;2025中国50玩水避暑景点;徜徉在星罗密布的岛屿中,清凉漂流;1.1万条点评
横店影视城;东阳 · 横店;5A;8.2;2025亚洲100亲子景点;穿越时空的旅行,嗨玩乐园;3.1万条点评
雁荡山;乐清 · 雁荡商圈;5A;8.1;2025中国50赏花踏青景点;以奇峰瀑布著称,避暑纳凉;5624条点评
灵隐寺;杭州 · 西湖风景区/灵隐度假区;#;8.1;杭州必打卡景点榜 No.5;活佛济公的出家地,历史建筑;2.0万条点评
西溪国家湿地公园;杭州 · 西溪湿地商圈;5A;8.0;2025中国50赏花踏青景点;坐船漫游芦苇荡,避暑纳凉;2.6万条点评
天一阁博物院;宁波 · 天一广场/鼓楼;5A;7.9;2025中国100亲子景点;古老的私人藏书楼,展馆展览;1.0万条点评
